,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,original_language,original_title,popularity,vote_average,vote_count
506,91,2017-01-06,Underworld: Blood Wars,35000000.0,30353973.0,81209222.0,2017,Underworld: Blood Wars,SGem,50700000.0,2017,"[28, 14, 27, 18]",en,Underworld: Blood Wars,18.976,5.5,2318
507,96,2011-09-23,Abduction,35000000.0,28087155.0,86648359.0,2011,Abduction,LGF,54000000.0,2011,"[53, 28, 9648]",en,Abduction,17.69,5.8,1791
508,100,2012-10-19,Alex Cross,35000000.0,25888412.0,35426759.0,2012,Alex Cross,LG/S,8700000.0,2012,"[28, 53, 80, 9648]",en,Alex Cross,9.962,5.1,424
509,6,2016-03-04,Whiskey Tango Foxtrot,35000000.0,23083334.0,25350747.0,2016,Whiskey Tango Foxtrot,Par.,,2016,"[10752, 35]",en,Whiskey Tango Foxtrot,8.564,6.2,596
510,8,2015-08-21,Hitman: Agent 47,35000000.0,22467450.0,82182803.0,2015,Hitman: Agent 47,Fox,59900000.0,2015,"[28, 80, 53]",en,Hitman: Agent 47,14.082,5.6,1764
511,10,2012-08-24,Premium Rush,35000000.0,20275446.0,31393201.0,2012,Premium Rush,Sony,10800000.0,2012,"[80, 28, 53]",en,Premium Rush,12.484000000000002,6.2,1244
512,11,2013-01-18,Broken City,35000000.0,19701164.0,34480045.0,2013,Broken City,Fox,,2013,"[53, 80, 18]",en,Broken City,13.645999999999999,5.9,814
513,18,2013-01-25,Parker,35000000.0,17616641.0,48543388.0,2013,Parker,FD,28600000.0,2013,"[28, 80]",en,Parker,14.95,5.8,1868
514,24,2011-05-27,The Tree of Life,35000000.0,13305665.0,61721826.0,2011,The Tree of Life,FoxS,41000000.0,2011,"[18, 14]",en,The Tree of Life,11.569,6.6,1730
515,32,2015-03-06,Unfinished Business,35000000.0,10219501.0,13214051.0,2015,Unfinished Business,Fox,4200000.0,2015,[35],en,Unfinished Business,8.516,5.2,472
516,33,2015-09-30,The Walk,35000000.0,10161183.0,61492104.0,2015,The Walk,TriS,51000000.0,2015,"[12, 18, 53]",en,The Walk,11.754000000000001,6.9,1906
517,35,2013-11-29,Mandela: Long Walk to Freedom,35000000.0,8323085.0,29890402.0,2013,Mandela: Long Walk to Freedom,Wein.,19000000.0,2013,"[18, 36]",en,Mandela: Long Walk to Freedom,8.262,6.9,319
518,40,2017-10-20,The Snowman,35000000.0,6670765.0,43226146.0,2017,The Snowman,Uni.,36400000.0,2017,"[18, 80, 53, 27]",en,The Snowman,14.581,5.1,1225
519,44,2011-01-28,Biutiful,35000000.0,5101237.0,24687524.0,2011,Biutiful,RAtt.,20000000.0,2011,[18],es,Biutiful,7.697,7.2,546
520,47,2016-04-22,A Hologram for the King,35000000.0,4212494.0,11846010.0,2016,A Hologram for the King,RAtt.,,2016,"[35, 18]",en,A Hologram for the King,11.055,5.9,589
521,58,2011-12-25,The Darkest Hour,34800000.0,21443494.0,62831715.0,2011,The Darkest Hour,Sum.,43200000.0,2011,"[27, 28, 53, 878]",en,The Darkest Hour,10.73,4.9,735
522,59,2017-06-28,Baby Driver,34000000.0,107825862.0,228104185.0,2017,Baby Driver,TriS,119100000.0,2017,"[28, 80]",en,Baby Driver,22.895,7.4,8034
523,60,2014-09-19,The Maze Runner,34000000.0,102427862.0,348319861.0,2014,The Maze Runner,Fox,245900000.0,2014,"[28, 9648, 878, 53]",en,The Maze Runner,36.955,7.1,10626
524,61,2015-04-10,The Longest Ride,34000000.0,37446117.0,63802928.0,2015,The Longest Ride,Fox,25500000.0,2015,"[18, 10749]",en,The Longest Ride,11.168,7.5,1908
525,64,2018-08-03,The Darkest Minds,34000000.0,12695691.0,38361428.0,2018,The Darkest Minds,Fox,28400000.0,2018,"[878, 53]",en,The Darkest Minds,23.967,6.8,1158
526,73,2016-07-08,Mike and Dave Need Wedding Dates,33000000.0,46009673.0,75898100.0,2016,Mike and Dave Need Wedding Dates,Fox,31100000.0,2016,[35],en,Mike and Dave Need Wedding Dates,11.675999999999998,6.0,1552
